Feature1,Feature2,Cluster
0.3199567202405562,-3.4385667830545814,2
-1.453688240989654,-3.2738534152574648,2
1.0593759744086855,-0.7579937970508931,1
-1.0715345272736556,-4.101497960105519,2
-0.8982357230332279,-8.915199921999717,0
2.1259956335075314,-0.9232473048872227,1
-1.0235315051586291,-10.470254412211796,0
-1.5936101541533336,-8.710463625372762,0
-2.9704018897463147,-2.2072549042361516,2
-1.6666469331243057,-4.379799943897158,2
-3.939551413543413,-9.572927986332832,0
-1.6542790428722691,-4.3462007320491765,2
1.0505005040952935,-1.1344636609842433,1
-1.508349515353959,-11.551087626107623,0
-1.7566067905898142,-3.0216814186621526,2
-2.5015311222556935,-7.676998721862448,0
0.5552307657049,-9.040785491027064,0
-0.9096574204966905,-8.121841500769577,0
-1.2800921956883287,-8.939122791293144,0
0.5788409600448873,-1.226238735282441,1
1.6286133153116444,0.808677119818106,1
-0.4371133686213353,-3.647834039267022,2
-2.679192111134228,-3.6242210772036154,2
-0.30387455138834296,-3.2583781177515774,2
1.0537120065770949,-2.632141027502986,1
-1.2992324536810762,-8.306474143941882,0
0.6775563472714092,-2.6435542503000073,1
-1.8738575400425317,-8.331974795724191,0
0.46171023131230937,-9.92897623963482,0
-1.313210201705347,-5.215534848363355,2
-0.8118896022275428,-4.449143218488331,2
-2.5792136231790614,-1.8497672408189478,2
-2.475352779824402,-2.5085593857211497,2
-1.197690737870566,-4.597117049367242,2
-2.4144204401905434,-10.18889625100596,0
1.383546007384945,-0.3180427354058979,1
0.05546421118079703,-9.178846027264076,0
2.138104933574792,-1.4456698344352792,1
-1.742235310898118,-3.6357441800542216,2
-0.4455440158382782,-3.2977465954106435,2
0.11012399646028048,0.25183467883738575,1
-2.7625674349825955,-8.635163471600094,0
0.709730041210872,-0.7551278848438439,1
-2.6475596326001263,-4.576060784237339,2
-1.5491589173759384,-7.250108574555569,0
-0.846605627083354,-8.203096133170305,0
-2.701319184464052,-9.634970559119123,0
-0.3243177121798546,-3.31914573946905,1
-0.10604775155424129,-1.9750827920984886,1
-1.9993557985866022,-10.064889958021181,0
-1.0639859508962428,-11.340087749565672,0
-3.3712445995750615,-3.894095069437972,2
-0.90788398930131,-5.10084263047361,2
-2.413235230836907,-9.048382808785483,0
0.7719286148428908,-2.4667077690772468,1
-0.8996299869449244,-9.698610632187053,0
-1.6839942264978642,-10.865994029978038,0
-2.840116389861559,-3.470849829551071,2
2.541540251536861,-1.609380190806832,1
-0.4946339194920575,-4.4111816302444735,2
2.2416998555941596,-2.539278700688813,1
-2.7334663068167133,-9.819493140798402,0
0.37487407248650395,-0.9147576819274883,1
2.444419457355699,-2.3584800277131763,1
-0.7558055271495762,-8.746195787376971,0
-1.9395844900445176,-2.981860063584146,2
-1.9135786660826075,-3.143790030188221,2
-2.1790319137271776,-1.6587872355174687,2
1.6250484813585493,-0.875959417108199,1
-3.1481926117236885,-7.750290697461706,0
